Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
KGO;Küsnacht Goldbach;2016-01-01;1600;2000.0;SBB;;47.3268539021, 8.57595174932;http://lod.opentransportdata.swiss/didok/8503141
LFG;Laufenburg;2016-01-01;790;880.0;SBB;;47.5597640916, 8.06127319304;http://lod.opentransportdata.swiss/didok/8500322
KLI;Klingnau;2016-01-01;570;680.0;SBB;;47.5820892736, 8.24881875083;http://lod.opentransportdata.swiss/didok/8516176
KWL;Kesswil;2016-01-01;260;280.0;SBB;;47.5954978156, 9.31740544782;http://lod.opentransportdata.swiss/didok/8506123
RSHF;Rorschach Hafen;2016-01-01;1300;1400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.4785940343, 9.49290567677;http://lod.opentransportdata.swiss/didok/8506306
SCHN;Schlattingen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6666263051, 8.77041438581;http://lod.opentransportdata.swiss/didok/8503429
RSST;Rorschach Stadt;2016-01-01;2300;2700.0;SBB;;47.4754476463, 9.48971870021;http://lod.opentransportdata.swiss/didok/8506322
RUES;Rüschlikon;2016-01-01;2900;3400.0;SBB;;47.3071323847, 8.55515146936;http://lod.opentransportdata.swiss/didok/8503201
RUE;Rüti ZH;2016-01-01;10000;11400.0;SBB;;47.2604821005, 8.8540677825;http://lod.opentransportdata.swiss/didok/8503121
REID;Reiden;2016-01-01;1500;1700.0;SBB;;47.2414629092, 7.96875676951;http://lod.opentransportdata.swiss/didok/8502003
OGL;Oberglatt;2016-01-01;6100;7100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4702034518, 8.51060488949;http://lod.opentransportdata.swiss/didok/8503312
ORDD;Oberrieden Dorf;2016-01-01;1500;1800.0;SBB;;47.2767239721, 8.57763334225;http://lod.opentransportdata.swiss/didok/8502209
REB;Rebstein-Marbach;2016-01-01;270;310.0;SBB;;47.3926373927, 9.58675061708;http://lod.opentransportdata.swiss/didok/8506318
OLH;Olten Hammer;2016-01-01;400;470.0;SBB;;47.3485517008, 7.8977062126;http://lod.opentransportdata.swiss/didok/8500217
RAET;Räterschen;2016-01-01;650;740.0;SBB;;47.4986756956, 8.79499713285;http://lod.opentransportdata.swiss/didok/8506015
RAR;Raron;2016-01-01;650;750.0;SBB;;46.3062732767, 7.80150766492;http://lod.opentransportdata.swiss/didok/8501604
MSCH;Münsterlingen-Scherzingen;2016-01-01;290;310.0;SBB;;47.6334235783, 9.2269983596;http://lod.opentransportdata.swiss/didok/8506126
MOER;Mörschwil;2016-01-01;280;310.0;SBB;;47.4747707737, 9.41437284119;http://lod.opentransportdata.swiss/didok/8506304
NB;Niederbipp;2016-01-01;630;730.0;SBB;;47.2703963923, 7.69480825358;http://lod.opentransportdata.swiss/didok/8500211
NH;Neuhausen;2016-01-01;1600;1800.0;SBB;;47.683134176, 8.62491498919;http://lod.opentransportdata.swiss/didok/8503423
MIT;Mitlödi;2016-01-01;280;320.0;SBB;;47.0101282312, 9.08119403324;http://lod.opentransportdata.swiss/didok/8503232
MU;Muttenz;2016-01-01;4900;6000.0;SBB;;47.5335803903, 7.64787914262;http://lod.opentransportdata.swiss/didok/8500020
MOLS;Mols;2016-01-01;90;100.0;SBB;;47.1129874927, 9.27680343664;http://lod.opentransportdata.swiss/didok/8509415
